Tweet Text;Tweet Datetime;Tweet Id;Twitter @ Name;Tweet Coordinates;Place Info;Retweets;Favorites;Language;Source;Replied Tweet Id;Replied Tweet User Id Str;Quote Status Bool
VamosGuate MAANA SE UNEN A LOS ENTRENAMIENTOS DE LA BICOLOR EL PORTERO RICARDO JEREZ AlianzaPetrolera;10/11/2020 04:12;1.32601E+18;EdwinFajardoFH;;;0;1;es;Twitter for iPhone;;;False
RT YoSoyDanteEJC Colombia los soldados del Ejrcito Nacional continuarn cuidndolo durante la nocheEjrcitoTransparenteDenuncie;10/11/2020 04:12;1.32601E+18;criss_057;;;15;0;es;Twitter for Android;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 04:11;1.32601E+18;Anit_73;;;31;0;es;Twitter for Android;;;False
RT generoalatina Gracias a las voces que se levantan en cada pas en especial en aquellos lugares que han padecido la guerra por tantos;10/11/2020 04:11;1.32601E+18;kukyrojas;;;1;0;es;Twitter for Android;;;True
Gracias a las voces que se levantan en cada pas en especial en aquellos lugares que han padecido la guerra por ta;10/11/2020 04:11;1.32601E+18;generoalatina;;;1;1;es;Twitter for Android;;;True
RT ONUHumanRights Hoy analizamos avances y desafos para la bsqueda de personas desaparecidas en el conflicto Colombia DDHH Reunin;10/11/2020 04:11;1.32601E+18;MarcoFonsecaRa1;;;11;0;es;Twitter for Android;;;False
RT MedicinaMilitar El Soldado nunca muere slo se rene con Dios para la Batalla Final Solo los Muertos han visto el final de;10/11/2020 04:10;1.32601E+18;MedicinaMilitar;;;58;0;es;Twitter for Android;;;False
tragediapolitica es seguir con los mismo politicos y que crean que son dueos del pais que verguenza Vizcarra;10/11/2020 04:09;1.32601E+18;marostrepo;;;0;0;es;Twitter for Android;;;False
RT DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los venezolanos que fu;10/11/2020 04:08;1.32601E+18;pelucael;;;32;0;es;Twitter Web App;;;False
RT PrimeraHoraEcu Internacional Una mujer que caminaba con su hija de 3 aos se enfrent con un ladrn armado que intent robarle s;10/11/2020 04:07;1.32601E+18;galosalazar_ec;;;1;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 04:07;1.32601E+18;bichuelo;;;37;0;es;Twitter Web App;;;False
RT krojas2018 Vivir en la zona de guerra Hoy vuelve a ser un da triste y de tremenda indignacin para la prensa en Mexico;10/11/2020 04:06;1.32601E+18;KauSirenio;;;8;0;es;Twitter for iPhone;;;False
